lat,lng,hour,day_of_week,is_weekend,density
48.8566,2.3522,8,0,0,0.75
48.8566,2.3522,12,0,0,0.85
48.8566,2.3522,18,0,0,0.90
48.8566,2.3522,22,0,0,0.30
48.8566,2.3522,8,5,1,0.45
48.8566,2.3522,14,5,1,0.70
48.8606,2.3622,8,0,0,0.65
48.8606,2.3622,12,0,0,0.80
48.8606,2.3622,18,0,0,0.75
48.8606,2.3622,10,6,1,0.55
48.8580,2.3550,8,0,0,0.60
48.8580,2.3550,12,0,0,0.70
48.8580,2.3550,18,0,0,0.65
48.8550,2.3480,9,0,0,0.85
48.8550,2.3480,17,0,0,0.90
48.8620,2.3650,8,0,0,0.50
48.8620,2.3650,12,0,0,0.60
48.8540,2.3450,14,0,0,0.75
48.8540,2.3450,20,0,0,0.45
48.8570,2.3580,7,0,0,0.55
48.8570,2.3580,19,0,0,0.70
48.8590,2.3600,11,0,0,0.80
48.8590,2.3600,15,0,0,0.75
48.8560,2.3500,8,1,0,0.70
48.8560,2.3500,12,1,0,0.82
48.8560,2.3500,18,1,0,0.88
48.8560,2.3500,10,6,1,0.58
48.8560,2.3500,16,6,1,0.65
48.8575,2.3560,9,2,0,0.72
48.8575,2.3560,13,2,0,0.78
48.8575,2.3560,17,2,0,0.80
48.8585,2.3590,8,3,0,0.68
48.8585,2.3590,12,3,0,0.76
48.8585,2.3590,18,3,0,0.74
48.8555,2.3470,7,4,0,0.62
48.8555,2.3470,12,4,0,0.79
48.8555,2.3470,19,4,0,0.72
48.8610,2.3630,10,5,1,0.42
48.8610,2.3630,14,5,1,0.58
48.8610,2.3630,18,5,1,0.52
48.8535,2.3440,6,0,0,0.35
48.8535,2.3440,9,0,0,0.68
48.8535,2.3440,21,0,0,0.40
48.8595,2.3610,8,1,0,0.66
48.8595,2.3610,14,1,0,0.74
48.8595,2.3610,17,1,0,0.77
